"timestamp_utc","process_count","working_set_mb","private_mb","handles","cpu_seconds"
"2026-09-17T00:44:06.4134122Z","4","358.38","183.38","2170","1.16"
"2026-09-17T00:44:11.4454366Z","4","370.52","195.82","2210","1.34"
"2026-09-17T00:44:16.4559632Z","4","407.62","231.62","2287","1.8"
"2026-09-17T00:44:21.4745425Z","4","414.67","231.5","2341","2.11"
"2026-09-17T00:44:26.4988928Z","4","413.31","229.07","2341","2.28"
"2026-09-17T00:44:31.5267019Z","4","418.67","244.98","2342","2.59"
"2026-09-17T00:44:36.5569241Z","4","415.57","243.81","2343","2.73"
"2026-09-17T00:44:41.5823218Z","4","415.89","243.3","2335","2.91"
"2026-09-17T00:44:46.5996084Z","4","424.7","247.06","2354","3.39"
"2026-09-17T00:44:51.6129613Z","4","425.3","247.28","2352","3.61"
"2026-09-17T00:44:56.6331291Z","4","422.78","244.19","2353","3.61"
"2026-09-17T00:45:01.6568305Z","4","398.07","218.37","2353","3.77"
"2026-09-17T00:45:06.6743616Z","4","426.3","249.09","2365","3.98"
"2026-09-17T00:45:11.6960694Z","4","432.32","247.93","2423","4.17"
"2026-09-17T00:45:16.7138121Z","4","433.36","247.21","2422","4.27"
"2026-09-17T00:45:21.7355891Z","4","423.36","236.98","2422","4.28"
"2026-09-17T00:45:26.7578140Z","4","407.36","220.32","2422","4.28"
"2026-09-17T00:45:31.7811052Z","4","407.36","220.32","2422","4.28"
"2026-09-17T00:45:36.8053952Z","4","407.36","220.32","2422","4.28"
"2026-09-17T00:45:41.8260191Z","4","407.36","220.32","2422","4.28"
"2026-09-17T00:45:46.8484589Z","4","407.31","220.24","2414","4.3"
"2026-09-17T00:45:51.8642855Z","4","405.97","220.12","2408","4.3"
"2026-09-17T00:45:56.8765210Z","4","413.59","222.45","2423","4.53"
"2026-09-17T00:46:01.9009986Z","4","459.25","263.16","2462","5.19"
"2026-09-17T00:46:06.9218486Z","4","475.75","276.64","2459","5.61"
"2026-09-17T00:46:11.9390983Z","4","492.86","288.79","2463","6.2"
"2026-09-17T00:46:16.9501532Z","4","456.12","250.14","2462","6.67"
"2026-09-17T00:46:21.9632765Z","4","443.04","238.82","2466","7.09"
"2026-09-17T00:46:26.9899746Z","4","456.63","252.18","2469","7.42"
"2026-09-17T00:46:32.0121989Z","4","456.23","251.66","2468","7.56"
"2026-09-17T00:46:37.0344448Z","4","456.21","251.83","2474","7.91"
"2026-09-17T00:46:42.0501995Z","4","477.52","268.19","2468","8.55"
"2026-09-17T00:46:47.0812443Z","4","464.23","257.79","2469","9.02"
"2026-09-17T00:46:52.0991202Z","4","467.48","262.21","2461","9.19"
"2026-09-17T00:46:57.1144401Z","4","458.41","250.18","2506","9.36"
"2026-09-17T00:47:02.1356425Z","4","455.37","247.39","2509","9.75"
"2026-09-17T00:47:07.1586427Z","4","461.83","252.54","2506","10.16"
"2026-09-17T00:47:12.1876383Z","4","454.38","244.52","2487","10.17"
"2026-09-17T00:47:17.2073207Z","4","438.96","229.14","2487","10.17"
"2026-09-17T00:47:22.2300392Z","4","432.65","222.82","2487","10.19"
"2026-09-17T00:47:27.2860236Z","4","432.68","222.7","2487","10.2"
"2026-09-17T00:47:32.3000673Z","4","432.7","222.7","2491","10.2"
"2026-09-17T00:47:37.3196571Z","4","428.86","218.87","2491","10.2"
"2026-09-17T00:47:42.3488440Z","4","429.16","219.14","2489","10.2"
"2026-09-17T00:47:47.3640151Z","4","429.18","219.16","2491","10.25"
"2026-09-17T00:47:52.3887117Z","4","429.18","219.14","2491","10.25"
"2026-09-17T00:47:57.4071759Z","4","429.18","219.13","2493","10.25"
"2026-09-17T00:48:02.4245524Z","4","429.1","219.07","2493","10.25"
"2026-09-17T00:48:07.4407214Z","4","426.25","216.21","2489","10.25"
"2026-09-17T00:48:12.4679841Z","4","426.26","216.21","2489","10.28"
"2026-09-17T00:48:17.4913061Z","4","426.32","216.21","2489","10.3"
"2026-09-17T00:48:22.5077283Z","4","426.32","216.21","2489","10.3"
"2026-09-17T00:48:27.5248893Z","4","426.32","216.21","2489","10.3"
"2026-09-17T00:48:32.5438867Z","4","426.47","216.48","2488","10.41"
"2026-09-17T00:48:37.5617398Z","4","426.47","216.48","2485","10.41"
"2026-09-17T00:48:42.5769745Z","4","426.47","216.48","2485","10.41"
"2026-09-17T00:48:47.5905348Z","4","426.47","216.48","2487","10.41"
"2026-09-17T00:48:52.6052416Z","4","427.14","216.62","2487","10.45"
"2026-09-17T00:48:57.6178185Z","4","427.14","216.62","2487","10.45"
"2026-09-17T00:49:02.6332057Z","4","427.14","216.62","2487","10.47"
"2026-09-17T00:49:07.6538803Z","4","427.04","216.48","2487","10.47"
"2026-09-17T00:49:12.6705897Z","4","427.04","216.48","2487","10.47"
"2026-09-17T00:49:17.6998681Z","4","427.04","216.48","2487","10.47"
"2026-09-17T00:49:22.7193441Z","4","427.04","216.48","2487","10.47"
"2026-09-17T00:49:27.7381656Z","4","427.04","216.48","2487","10.47"
"2026-09-17T00:49:32.7595373Z","4","427.04","216.48","2487","10.47"
"2026-09-17T00:49:37.7871844Z","4","427.04","216.48","2488","10.47"
"2026-09-17T00:49:42.8131237Z","4","427.04","216.48","2488","10.47"
"2026-09-17T00:49:47.8303404Z","4","427.04","216.48","2488","10.47"
